Blog	two	than	our	other	many	would	today	don	last	back	way	day	world	work	also	see	post	them	any	while	because	video	only	good	know	want	best	well	need	three	use	could	too	long	read	those	should	made	down	google	week	then	something	these	may	show	right	going	said	off	take	since	every	much	being	still	using	before	through	help	look	game	say	why	live	think	where	big	days	might	around	says	really	both	news	she	between	her	top	full	another	very	doesn	few	thing	things	does	better	did	story	keep	great	find	next	case	life	real	same	got	found	part	own	old	free	internet	home	without	app	always	number	high	used	end	open	man	getting	web	users	sure	data	let	change	during	different	already	city	page	ever	come	called	didn	enough	available	play	set	media	put	site	based	against	little	ago	finally	blog	working	company	including	times	future	hard	report	online	him	music	technology	away	almost	yet	team	information	com	isn	though	such	power	social	less	twitter	left	small	past	makes	start	across	again	version	million	shows	months	add	second	easy	five	business	actually	making	bit	photos	night	month	interesting	each	recent	space	nbsp	search	several	lot	done	single	once	doing	early	probably	state	phone	view	problem	coming	however	love	line	comes	won	never	give	everyone	create	design	gets	series	project	support	system	fact	means	car	family	latest	talk	money	public	taking	under	watch	told	youtube	went	must	far	book	experience	sometimes	america	point	list	call	link	email	security	buy	four	photo	step	within	website	simple	place	check	feel	instead	quite	via	mobile	facebook	control	build	itself	thought	hit	service	thanks	american	tuesday	source	released	comments	trying	user	run	black	idea	looking	seen	everything	seems	until	side	major	content	house	season	windows	become	product	images	rather	microsoft	name	image	science	bad	together	click	digital	reading	according	videos	center	took	someone	try	soon	ready	started	friends	features	important	least	games	given	able	group	share	ios	art	wednesday	process	likely	save	services	store	kind	earlier	obama	half	pretty	download	written	companies	behind	head	program	woman	example	continue	having	created	war	care	price	taken	believe	simply	release	network	morning	running	often	women	york	november	couple	stuff	apparently	update	links	special	party	needs	access	holiday	local	press	president	current	whole	community	stop	national	health	apps	feature	came	country	inside	screen	death	launched	takes	either	iphone	six	offer	along	note	weeks	favorite	complete	thinking	exactly	please	others	looks	writing	george	white	percent	lead	wants	worth	john	hand	close	amp	third	deal	among	later	school	goes	short	job	possible	states	results	street	official	near	software	designed	question	starting	red	recently	issues	devices	drive	large	android	government	interview	low	washington	anyone	shot	outside	nothing	class	whether	below	player	course	tools	word	law	dead	event	front	computer	text	longer	apple	words	saying	bottom	learn	test	drop	similar	lost	else	numbers	platform	nice	include	wasn	happy	developers	original	david	article	products	tell	maybe	understand	works	talking	color	face	announced	items	standard	terms	browser	launch	potential	general	fans	account
@ProBlogger	3	4	3	4	4	1	2	3	3	1	3	7	0	0	1	1	5	2	2	2	0	0	0	1	2	0	0	0	0	1	9	0	0	0	1	1	6	1	0	3	1	1	2	2	5	0	2	1	0	1	0	0	5	1	3	1	0	3	1	3	0	0	1	4	0	3	1	0	1	3	0	0	1	0	0	3	0	4	0	0	1	3	0	3	6	3	0	0	0	0	4	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	1	4	0	1	0	0	1	1	0	50	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	5	0	1	1	0	0	0	0	0	0	0	2	0	4	1	0	0	2	3	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	4	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	1	1	2	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	3	1	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	0	1	2	2	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	3	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
The Superficial - Because You're Ugly	4	1	3	4	1	1	2	4	5	3	1	2	0	3	3	8	2	1	1	6	14	2	7	4	6	4	0	1	0	2	1	0	3	4	39	0	3	6	5	0	3	5	0	4	1	3	6	5	3	1	0	5	1	1	1	0	0	0	1	0	3	0	2	2	1	2	7	2	3	1	1	0	2	1	5	19	0	26	1	2	2	2	1	0	2	0	2	0	2	0	1	0	3	2	1	0	1	1	6	2	0	2	1	0	7	0	1	0	0	0	0	1	1	0	5	2	1	0	2	0	4	0	0	0	5	0	0	2	2	0	3	1	0	1	3	1	3	1	0	0	0	4	0	1	0	0	0	0	0	1	0	1	2	2	0	1	3	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	2	0	1	1	0	1	1	0	0	0	1	0	3	1	0	4	2	0	0	1	0	0	0	0	1	0	0	2	1	1	0	4	0	0	0	0	1	2	2	0	0	2	1	1	2	0	0	0	1	0	1	0	1	2	1	0	0	0	1	0	1	1	3	1	0	3	0	0	1	0	0	0	1	0	0	0	0	0	1	2	2	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	2	1	0	1	2	5	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	1	0	0	0	0	2	0	0	1	2	0	0	2	2	3	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	1	1	0	1	0	0	0	0	3	0	0	1	0	0	0	0	1	1	0	0	0	6	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	2	0	1	0	5	1	0	1	0	0	2	0	1	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	2	2	0	1	1	0	0	0	1	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0
/ - latimes.com	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	2	1	0	0	0	2	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43 Folders	10	36	35	22	20	20	13	46	13	25	36	16	13	59	27	18	2	22	38	10	57	14	22	26	40	26	14	24	21	3	11	24	14	21	43	27	16	28	9	2	11	25	23	24	15	4	24	7	14	13	10	5	12	37	17	20	8	13	7	30	5	2	21	32	8	31	20	25	7	16	10	13	77	8	1	29	3	17	2	7	10	29	18	13	33	55	5	27	13	6	10	14	10	3	3	32	19	9	2	1	17	13	10	8	3	6	12	8	20	9	0	6	7	4	7	11	10	5	10	3	17	13	2	7	13	0	4	26	5	3	8	15	5	6	3	2	3	2	2	4	28	3	6	5	7	2	8	3	8	16	0	1	12	0	3	7	13	6	2	6	17	0	2	6	7	1	16	4	2	2	8	5	11	0	10	3	0	0	4	1	8	5	4	8	14	11	7	0	5	2	2	13	2	1	1	0	2	39	10	6	4	16	4	8	0	1	4	15	1	1	15	3	5	10	26	4	8	0	10	13	0	3	3	4	9	11	3	4	0	22	5	1	1	20	6	6	0	2	1	7	25	4	15	1	21	3	3	2	11	0	5	5	2	4	2	1	7	7	2	7	4	5	1	1	1	3	2	6	10	3	3	13	2	0	1	1	0	10	0	6	1	6	2	1	12	2	15	4	4	1	2	0	0	12	4	0	8	0	3	0	0	6	3	2	0	13	0	0	0	2	7	18	5	8	2	5	2	13	11	0	3	1	0	4	6	3	0	2	4	2	3	0	9	2	0	9	11	16	16	2	2	1	0	2	0	4	11	0	0	27	5	0	9	11	0	4	7	4	19	0	1	1	7	27	2	4	2	5	0	4	0	1	0	0	0	1	4	0	11	0	2	5	1	1	0	2	1	4	0	4	7	3	4	2	1	4	1	10	0	5	8	16	4	3	4	0	0	1	2	3	5	15	3	2	11	2	2	2	5	0	10	3	19	5	0	2	1	0	3	1	0	3	5	4	1	0	1	0	3	0	0	9	1	0	14	2	5	7	1	14	0	0	2	5	3	1	1	4	3	0	4	1	1	1	11	0	11	1	2	1	1	7	0	0	15	1	2	6	0	2	4	4	0	17	14	14	0	4	0	5	0	3	0	3	0	0	2	0	1	1
Search Engine Watch - Latest	0	3	1	1	2	0	1	0	0	0	2	0	0	1	2	2	0	0	0	1	0	11	0	0	1	0	1	2	1	0	3	2	0	1	0	0	2	1	0	18	0	0	0	1	0	0	1	0	2	0	1	0	1	0	2	1	1	0	1	1	0	0	0	1	2	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	1	0	0	1	0	0	1	0	2	1	1	1	0	0	0	1	2	0	6	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	1	0	2	2	1	0	0	3	0	0	0	0	0	0	0	0	1	1	4	2	1	1	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	7	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	1	3	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	4	1	0	2	0	0	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	3	1	1	0	0	0	0	0	1	5	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
Daily Kos	21	26	24	22	18	35	19	17	26	13	8	8	4	20	20	18	7	12	18	13	32	1	18	19	8	24	4	12	14	7	5	22	8	14	1	22	34	12	13	0	26	8	10	22	8	13	19	30	61	9	10	15	8	20	13	19	1	14	8	15	7	0	13	14	16	20	19	9	6	13	7	9	9	12	36	18	11	18	4	5	19	23	15	7	12	12	11	12	8	6	15	13	10	8	8	5	8	12	8	9	4	9	7	2	0	9	5	2	7	5	5	6	8	7	9	6	1	1	8	5	6	16	4	2	4	3	2	4	10	8	15	7	7	3	3	10	6	11	4	5	11	6	3	1	11	1	6	7	5	5	6	1	15	1	0	4	2	4	3	6	4	15	11	7	1	23	9	2	6	3	10	6	5	4	9	5	10	1	5	1	9	2	7	2	3	8	4	0	4	8	2	8	3	0	18	4	3	5	4	3	2	4	8	8	46	4	2	10	7	7	3	4	6	9	6	7	3	3	0	4	1	0	27	9	9	3	1	5	7	4	4	16	5	9	7	10	0	4	4	12	0	2	1	6	11	4	8	3	7	20	2	3	0	4	3	5	3	9	2	2	7	2	5	3	1	4	2	2	4	5	1	4	12	14	0	4	2	7	0	3	4	12	2	2	1	6	3	5	6	1	21	0	2	8	2	1	5	0	4	0	0	13	3	8	0	0	5	0	4	3	6	2	5	3	4	2	0	5	5	0	5	8	3	3	0	0	8	4	9	2	5	3	5	4	25	2	8	3	1	5	4	0	22	0	5	4	7	3	6	22	0	5	4	1	1	6	20	5	0	15	3	7	2	1	3	0	1	2	5	4	2	5	5	2	22	5	9	5	4	6	30	0	0	1	10	0	0	2	0	5	6	0	9	1	1	2	9	5	2	2	3	4	3	3	0	3	11	33	6	2	1	6	5	1	6	5	7	5	2	0	2	2	4	2	18	0	2	0	2	0	1	5	1	4	2	2	0	0	0	0	11	1	2	14	2	2	3	5	2	14	10	4	2	0	2	39	4	3	2	0	1	2	0	4	5	2	0	1	3	4	5	0	13	1	1	3	1	3	0	1	3	1	0	10	6	7	0	4	0	4	4	3	4	1	0	1	2	6	2	0
Deadspin	0	1	1	1	0	2	2	1	1	3	1	0	3	0	0	1	0	1	2	1	4	2	0	3	2	3	1	0	1	0	1	2	2	1	25	1	1	1	0	0	3	0	1	0	0	2	0	0	1	3	0	1	2	0	1	0	0	0	1	0	0	3	1	0	7	0	0	2	0	1	3	2	0	1	1	5	1	4	0	1	0	1	2	0	3	2	3	1	1	0	0	0	0	0	7	2	1	0	1	0	0	3	1	1	1	0	2	0	1	0	0	0	0	1	2	2	0	0	0	1	1	0	1	1	2	1	0	0	0	1	1	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	4	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	1	0	0	4	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	2	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
The Dish	2	6	5	6	2	3	1	2	2	1	2	7	3	2	2	0	1	4	1	1	5	1	1	1	1	3	2	1	3	2	2	1	1	3	2	3	5	2	1	0	2	2	1	2	1	2	2	0	0	2	1	1	0	2	1	1	0	1	1	4	1	0	3	4	2	2	1	1	0	2	3	2	0	1	2	1	3	6	1	2	2	2	1	0	2	1	2	0	0	2	0	1	0	1	1	3	0	3	1	3	1	1	0	1	0	2	0	0	0	2	0	2	0	2	0	2	0	1	0	0	0	2	1	0	0	0	2	2	1	2	0	0	1	0	0	1	0	1	1	3	3	4	0	0	0	0	2	0	2	0	2	0	1	0	1	3	0	2	0	0	1	0	0	1	0	1	2	1	0	1	0	1	0	1	0	0	1	0	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	5	0	1	1	1	1	1	1	1	1	1	2	0	0	0	1	1	0	3	1	1	1	2	1	0	0	1	2	2	0	0	0	0	0	3	0	1	2	0	3	0	1	2	0	0	0	1	3	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	2	0	1	1	3	2	2	0	0	0	0	0	1	0	2	0	1	0	0	1	0	3	1	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	2	2	0	0	1	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	0	0	1	0	1	1	0	3	1	0	2	1	0	0	1	0	0	0	1	1	4	0	1	2	0	0	0	1	1	0	0	0	2	1	1	0	0	1	2	1	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	1	2	1	0	2	0	2	1	1	1	0	0	1	0	0	2	0	0	0	0	2	3	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	7	1	0	1	0	1	2	1	0	1	0	0	0	0	0	4	0	0	2	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	1	1	0	0	1	0	0	3	0	0	0	1	0	0	2	1	0	0
O'Reilly Radar	0	1	1	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUAW - The Unofficial Apple Weblog	27	9	49	34	8	10	12	7	11	8	12	12	11	7	32	52	9	10	19	12	6	15	15	14	10	13	5	10	16	9	54	9	5	2	3	4	4	3	48	9	7	12	7	12	7	5	8	8	4	6	13	4	8	7	7	14	15	11	11	7	6	18	2	4	5	3	10	4	6	4	8	0	14	5	10	3	7	0	5	12	9	8	13	17	2	10	10	7	6	1	12	6	23	7	30	7	4	8	2	4	2	5	3	66	1	3	6	106	6	1	8	10	14	4	1	7	11	14	4	9	3	3	5	6	2	4	3	1	2	4	4	3	17	15	11	2	2	3	9	4	8	3	3	6	0	5	5	5	1	7	1	4	0	5	3	5	4	5	3	4	4	4	3	5	7	10	1	7	4	5	4	7	2	5	1	14	8	8	5	5	1	14	8	6	4	1	7	4	4	11	2	11	1	3	238	9	3	9	6	3	5	3	4	2	0	10	10	3	0	4	4	2	7	3	4	5	2	9	10	2	3	4	4	3	3	5	2	2	9	0	0	1	3	2	3	2	5	1	4	4	0	7	8	1	5	9	1	3	42	2	5	1	15	10	2	8	3	1	4	4	2	7	8	5	5	5	6	1	4	3	11	2	1	4	43	5	43	1	4	3	8	4	6	3	2	2	5	1	3	6	0	3	2	0	5	1	4	4	1	6	0	0	3	10	2	1	7	3	1	4	2	1	5	3	1	9	13	2	5	15	3	6	0	6	82	0	1	1	4	9	8	39	0	1	0	1	4	7	0	2	1	4	4	0	2	1	0	2	2	4	10	0	1	2	3	3	1	8	1	0	1	14	0	0	3	10	1	3	3	2	2	0	4	0	0	2	2	0	3	0	3	27	11	2	0	2	13	0	0	1	2	81	1	5	4	7	4	3	4	2	4	43	3	2	0	0	1	4	0	2	2	0	4	2	18	3	3	1	2	2	0	1	3	1	3	2	5	3	3	6	2	1	1	0	4	1	11	1	3	1	0	0	7	0	2	0	0	1	5	2	8	2	10	6	3	0	0	0	0	3	1	0	155	2	0	2	0	1	4	4	3	3	0	1	2	10	1	5	3	2	0	1	10	3	0	1	2	1	4	3	2	7	3	42	0	11	0	3	4	6
Lifehacker	1	1	6	2	2	2	1	2	1	0	0	3	0	4	2	0	0	2	3	2	1	2	2	3	0	1	6	1	4	3	4	0	2	3	28	3	0	0	3	6	0	0	2	2	1	0	1	1	0	1	5	0	0	1	2	0	2	1	1	0	0	4	0	2	0	2	0	0	0	2	1	0	3	2	0	2	1	0	0	0	1	0	1	5	0	3	2	0	0	0	2	3	2	1	0	0	0	0	0	1	0	5	0	0	1	1	0	6	0	1	1	0	0	0	0	0	1	3	0	0	2	0	2	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	4	1	0	0	1	1	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	1	2	2	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	2	2	4	0	0	1	1	2	1	0	1	0	0	0	0	1	0	1	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	1	0	0	0	3	1	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	2	0	0	0	1	2	0	1	2	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	4	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	6	0	0	2	0	2	0	0	0	0	2	0	3	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	1	0	0	0	0	0
Google Operating System	1	9	2	13	8	0	2	5	2	10	1	1	2	4	20	19	7	17	6	5	2	1	8	0	1	4	0	2	3	1	16	3	1	8	7	0	1	5	1	146	3	6	1	7	4	6	6	0	0	0	1	2	1	0	0	7	4	0	2	1	4	0	1	1	2	0	6	0	2	0	0	3	0	2	0	0	0	0	2	2	1	4	5	5	2	1	0	3	0	0	4	1	4	6	2	0	1	1	0	2	1	0	3	2	2	5	5	30	2	7	0	4	0	5	0	0	8	12	2	0	0	4	0	6	2	0	8	1	0	0	0	0	7	1	0	1	0	5	1	0	0	1	1	4	0	1	1	0	0	0	1	2	0	2	0	1	1	1	2	2	8	0	2	2	1	1	2	0	1	0	0	1	1	0	0	1	2	12	0	8	0	3	0	1	2	2	0	3	0	0	3	1	1	1	0	24	0	5	0	0	2	0	0	2	0	2	7	0	0	1	0	3	0	1	0	0	1	3	0	0	0	0	4	3	0	2	0	0	2	1	3	1	1	0	0	0	20	0	1	0	0	7	0	0	0	9	0	1	3	5	0	1	3	1	0	0	1	1	1	0	1	1	5	15	0	0	0	0	1	0	0	7	0	0	0	0	10	0	3	1	5	0	0	0	1	1	1	0	0	2	0	0	9	0	0	0	1	0	0	5	0	2	0	12	0	0	0	5	0	0	1	0	0	0	3	0	16	1	3	0	0	6	0	2	6	0	0	0	1	4	6	9	0	1	0	0	1	7	0	0	0	0	0	0	3	0	1	3	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	4	0	0	6	0	2	0	0	1	0	0	11	10	0	0	2	8	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	3	4	0	0	0	0	0	1	0	1	1	0	16	0	11	0	0	0	0	0	0	4	0	0	1	2	0	0	1	0	0	0	0	0	1	1	4	1	0	0	3	0	0	2	1	0	1	0	0	1	3	2	0	1	0	0	0	3	0	4	0	1	0	2	0	1	0	2	2	4	0	0	0	0	3
